        Measured Period [us]    Set Period [us]    Error [%]
 717                     397                 25        -1488
 718                     397                 25        -1488
 719                     397                 25        -1488
 720                     397                 25        -1488
 721                     396                 25        -1484
 722                     397                 25        -1488
 723                     397                 25        -1488
 724                     397                 25        -1488
 725                     397                 25        -1488
 726                     396                 25        -1484
 727                     397                 25        -1488
 728                     397                 25        -1488
 729                     397                 25        -1488
 730                     397                 25        -1488
 731                     397                 25        -1488
 732                     396                 25        -1484
 733                     397                 25        -1488
 734                     397                 25        -1488
 735                     397                 25        -1488
 736                     397                 25        -1488
 737                     397                 25        -1488
 738                     396                 25        -1484
 739                     397                 25        -1488
 740                     397                 25        -1488
 741                     397                 25        -1488
 742                     397                 25        -1488
 743                     396                 25        -1484
 744                     397                 25        -1488
 745                     397                 25        -1488
 746                     397                 25        -1488
 747                     397                 25        -1488
 748                     397                 25        -1488
 749                     396                 25        -1484
 750                     397                 25        -1488
 751                     397                 25        -1488
 752                     397                 25        -1488
 753                     397                 25        -1488
 754                     396                 25        -1484
 755                     397                 25        -1488
 756                     397                 25        -1488
 757                     397                 25        -1488
 758                     397                 25        -1488
 759                     397                 25        -1488
 760                     396                 25        -1484
 761                     397                 25        -1488
 762                     397                 25        -1488
 763                     397                 25        -1488
 764                     397                 25        -1488
 765                     397                 25        -1488
 766                     396                 25        -1484
 767                     397                 25        -1488
 768                     397                 25        -1488
 769                     397                 25        -1488
 770                     397                 25        -1488
 771                     396                 25        -1484
 772                     397                 25        -1488
 773                     397                 25        -1488
 774                     397                 25        -1488
 775                     397                 25        -1488
 776                     397                 25        -1488
 777                     396                 25        -1484
 778                     397                 25        -1488
 779                     397                 25        -1488
 780                     397                 25        -1488
 781                     397                 25        -1488
 782                     396                 25        -1484
 783                     397                 25        -1488
 784                     397                 25        -1488
 785                     397                 25        -1488
 786                     397                 25        -1488
 787                     397                 25        -1488
 788                     396                 25        -1484
 789                     397                 25        -1488
 790                     397                 25        -1488
 791                     397                 25        -1488
 792                     397                 25        -1488
 793                     396                 25        -1484
 794                     397                 25        -1488
 795                     397                 25        -1488
 796                     397                 25        -1488
 797                     397                 25        -1488
 798                     397                 25        -1488
 799                     396                 25        -1484
 800                     397                 25        -1488
 801                     397                 25        -1488
 802                     397                 25        -1488
 803                     397                 25        -1488
 804                     397                 25        -1488
 805                     396                 25        -1484
 806                     397                 25        -1488
 807                     397                 25        -1488
 808                     397                 25        -1488
 809                     397                 25        -1488
 810                     396                 25        -1484
 811                     397                 25        -1488
 812                     397                 25        -1488
 813                     397                 25        -1488
 814                     397                 25        -1488
 815                     397                 25        -1488
 816                     396                 25        -1484
 817                     397                 25        -1488
 818                     397                 25        -1488
 819                     397                 25        -1488
 820                     397                 25        -1488
 821                     396                 25        -1484
 822                     397                 25        -1488
 823                     397                 25        -1488
 824                     397                 25        -1488
 825                     397                 25        -1488
 826                     397                 25        -1488
 827                     396                 25        -1484
 828                     397                 25        -1488
 829                     397                 25        -1488
 830                     397                 25        -1488
 831                     397                 25        -1488
 832                     397                 25        -1488
 833                     396                 25        -1484
 834                     397                 25        -1488
 835                     397                 25        -1488
 836                     397                 25        -1488
 837                     397                 25        -1488
 838                     396                 25        -1484
 839                     397                 25        -1488
 840                     397                 25        -1488
 841                     397                 25        -1488
 842                     397                 25        -1488
 843                     397                 25        -1488
 844                     396                 25        -1484
 845                     397                 25        -1488
 846                     397                 25        -1488
 847                     397                 25        -1488
 848                     397                 25        -1488
 849                     396                 25        -1484
 850                     397                 25        -1488
 851                     397                 25        -1488
 852                     397                 25        -1488
 853                     397                 25        -1488
 854                     397                 25        -1488
 855                     396                 25        -1484
 856                     397                 25        -1488
 857                     397                 25        -1488
 858                     397                 25        -1488
 859                     397                 25        -1488
 860                     397                 25        -1488
 861                     396                 25        -1484
 862                     397                 25        -1488
 863                     397                 25        -1488
 864                     397                 25        -1488
 865                     397                 25        -1488
 866                     396                 25        -1484
 867                     397                 25        -1488
 868                     397                 25        -1488
 869                     397                 25        -1488
 870                     397                 25        -1488
 871                     397                 25        -1488
 872                     396                 25        -1484
 873                     397                 25        -1488
 874                     397                 25        -1488
 875                     397                 25        -1488
 876                     397                 25        -1488
 877                     396                 25        -1484
 878                     397                 25        -1488
 879                     397                 25        -1488
 880                     397                 25        -1488
 881                     397                 25        -1488
 882                     397                 25        -1488
 883                     396                 25        -1484
 884                     397                 25        -1488
 885                     397                 25        -1488
 886                     397                 25        -1488
 887                     397                 25        -1488
 888                     397                 25        -1488
 889                     396                 25        -1484
 890                     397                 25        -1488
 891                     397                 25        -1488
 892                     397                 25        -1488
 893                     397                 25        -1488
 894                     396                 25        -1484
 895                     397                 25        -1488
 896                     397                 25        -1488
 897                     397                 25        -1488
 898                     397                 25        -1488
 899                     397                 25        -1488
 900                     396                 25        -1484
 901                     397                 25        -1488
 902                     397                 25        -1488
 903                     397                 25        -1488
 904                     397                 25        -1488
 905                     396                 25        -1484
 906                     397                 25        -1488
 907                     397                 25        -1488
 908                     397                 25        -1488
 909                     397                 25        -1488
 910                     397                 25        -1488
 911                     396                 25        -1484
 912                     397                 25        -1488
 913                     397                 25        -1488
 914                     397                 25        -1488
 915                     397                 25        -1488
 916                     397                 25        -1488
 917                     396                 25        -1484
 918                     397                 25        -1488
 919                     397                 25        -1488
 920                     397                 25        -1488
 921                     397                 25        -1488
 922                     396                 25        -1484
 923                     397                 25        -1488
 924                     397                 25        -1488
 925                     397                 25        -1488
 926                     397                 25        -1488
 927                     397                 25        -1488
 928                     396                 25        -1484
 929                     397                 25        -1488
