        Measured Period [us]    Set Period [us]    Error [%]
 520                994.938                1000      0.50625
 521                995                    1000      0.5
 522                992.938                1000      0.70625
 523                993                    1000      0.7
 524                994.938                1000      0.50625
 525                995                    1000      0.5
 526                994.938                1000      0.50625
 527                994.938                1000      0.50625
 528                995                    1000      0.5
 529                994.938                1000      0.50625
 530                993                    1000      0.7
 531                992.938                1000      0.70625
 532                995                    1000      0.5
 533                994.938                1000      0.50625
 534                994.938                1000      0.50625
 535                995                    1000      0.5
 536                992.938                1000      0.70625
 537                993                    1000      0.7
 538                994.938                1000      0.50625
 539                995                    1000      0.5
 540                994.938                1000      0.50625
 541                994.938                1000      0.50625
 542                993                    1000      0.7
 543                992.938                1000      0.70625
 544                995                    1000      0.5
 545                994.938                1000      0.50625
 546                995                    1000      0.5
 547                994.938                1000      0.50625
 548                992.938                1000      0.70625
 549                993                    1000      0.7
 550                994.938                1000      0.50625
 551                995                    1000      0.5
 552                994.938                1000      0.50625
 553                994.938                1000      0.50625
 554                993                    1000      0.7
 555                993                    1000      0.7
 556                994.938                1000      0.50625
 557                994.938                1000      0.50625
 558                995                    1000      0.5
 559                994.938                1000      0.50625
 560                993                    1000      0.7
 561                992.938                1000      0.70625
 562                996.938                1000      0.30625
 563                996.938                1000      0.30625
 564                993                    1000      0.7
 565                993                    1000      0.7
 566                992.938                1000      0.70625
 567                993                    1000      0.7
 568                994.938                1000      0.50625
 569                995                    1000      0.5
 570                994.938                1000      0.50625
 571                994.938                1000      0.50625
 572                993                    1000      0.7
 573                992.938                1000      0.70625
 574                995                    1000      0.5
 575                994.938                1000      0.50625
 576                994.938                1000      0.50625
 577                995                    1000      0.5
 578                994.938                1000      0.50625
 579                995                    1000      0.5
 580                992.938                1000      0.70625
 581                993                    1000      0.7
 582                994.938                1000      0.50625
 583                994.938                1000      0.50625
 584                993                    1000      0.7
 585                993                    1000      0.7
 586                994.938                1000      0.50625
 587                994.938                1000      0.50625
 588                995                    1000      0.5
 589                994.938                1000      0.50625
 590                993                    1000      0.7
 591                992.938                1000      0.70625
 592                995                    1000      0.5
 593                994.938                1000      0.50625
 594                994.938                1000      0.50625
 595                995                    1000      0.5
 596                994.938                1000      0.50625
 597                994.938                1000      0.50625
 598                993                    1000      0.7
 599                993                    1000      0.7
 600                994.938                1000      0.50625
 601                994.938                1000      0.50625
 602                995                    1000      0.5
 603                994.938                1000      0.50625
 604                993                    1000      0.7
 605                992.938                1000      0.70625
 606                994.938                1000      0.50625
 607                995                    1000      0.5
 608                994.938                1000      0.50625
 609                995                    1000      0.5
 610                992.938                1000      0.70625
 611                993                    1000      0.7
 612                994.938                1000      0.50625
 613                994.938                1000      0.50625
 614                995                    1000      0.5
 615                994.938                1000      0.50625
 616                993                    1000      0.7
 617                992.938                1000      0.70625
 618                995                    1000      0.5
 619                994.938                1000      0.50625
 620                994.938                1000      0.50625
 621                995                    1000      0.5
 622                992.938                1000      0.70625
 623                993                    1000      0.7
 624                994.938                1000      0.50625
 625                995                    1000      0.5
 626                994.938                1000      0.50625
 627                994.938                1000      0.50625
 628                993                    1000      0.7
 629                992.938                1000      0.70625
 630                995                    1000      0.5
 631                994.938                1000      0.50625
 632                995                    1000      0.5
 633                994.938                1000      0.50625
 634                992.938                1000      0.70625
 635                993                    1000      0.7
 636                994.938                1000      0.50625
 637                995                    1000      0.5
 638                994.938                1000      0.50625
 639                995                    1000      0.5
 640                992.938                1000      0.70625
 641                993                    1000      0.7
 642                994.938                1000      0.50625
 643                994.938                1000      0.50625
 644                995                    1000      0.5
 645                994.938                1000      0.50625
 646                993                    1000      0.7
 647                992.938                1000      0.70625
 648                995                    1000      0.5
 649                994.938                1000      0.50625
 650                994.938                1000      0.50625
 651                995                    1000      0.5
 652                994.938                1000      0.50625
 653                994.938                1000      0.50625
 654                993                    1000      0.7
 655                993                    1000      0.7
 656                994.938                1000      0.50625
 657                994.938                1000      0.50625
 658                995                    1000      0.5
 659                994.938                1000      0.50625
 660                993                    1000      0.7
 661                992.938                1000      0.70625
 662                995                    1000      0.5
 663                994.938                1000      0.50625
 664                994.938                1000      0.50625
 665                995                    1000      0.5
 666                992.938                1000      0.70625
 667                993                    1000      0.7
 668                994.938                1000      0.50625
 669                994.938                1000      0.50625
 670                995                    1000      0.5
 671                994.938                1000      0.50625
 672                993                    1000      0.7
 673                992.938                1000      0.70625
 674                995                    1000      0.5
 675                994.938                1000      0.50625
 676                994.938                1000      0.50625
 677                995                    1000      0.5
 678                992.938                1000      0.70625
 679                993                    1000      0.7
 680                994.938                1000      0.50625
 681                995                    1000      0.5
 682                994.938                1000      0.50625
 683                994.938                1000      0.50625
 684                993                    1000      0.7
 685                993                    1000      0.7
 686                994.938                1000      0.50625
 687                994.938                1000      0.50625
 688                995                    1000      0.5
 689                994.938                1000      0.50625
 690                993                    1000      0.7
 691                992.938                1000      0.70625
 692                994.938                1000      0.50625
 693                995                    1000      0.5
 694                994.938                1000      0.50625
 695                995                    1000      0.5
 696                992.938                1000      0.70625
 697                993                    1000      0.7
 698                994.938                1000      0.50625
 699                994.938                1000      0.50625
 700                995                    1000      0.5
 701                994.938                1000      0.50625
 702                993                    1000      0.7
 703                992.938                1000      0.70625
 704                995                    1000      0.5
 705                994.938                1000      0.50625
 706                994.938                1000      0.50625
 707                995                    1000      0.5
 708                992.938                1000      0.70625
 709                993                    1000      0.7
 710                994.938                1000      0.50625
 711                995                    1000      0.5
 712                994.938                1000      0.50625
 713                994.938                1000      0.50625
 714                995                    1000      0.5
 715                994.938                1000      0.50625
 716                993                    1000      0.7
 717                992.938                1000      0.70625
 718                995                    1000      0.5
 719                994.938                1000      0.50625
 720                994.938                1000      0.50625
 721                995                    1000      0.5
 722                992.938                1000      0.70625
 723                993                    1000      0.7
 724                994.938                1000      0.50625
 725                995                    1000      0.5
 726                994.938                1000      0.50625
 727                994.938                1000      0.50625
