        Measured Period [us]    Set Period [us]    Error [%]
1006                     396                 25        -1484
1007                     397                 25        -1488
1008                     397                 25        -1488
1009                     397                 25        -1488
1010                     397                 25        -1488
1011                     397                 25        -1488
1012                     396                 25        -1484
1013                     397                 25        -1488
1014                     397                 25        -1488
1015                     397                 25        -1488
1016                     397                 25        -1488
1017                     397                 25        -1488
1018                     396                 25        -1484
1019                     397                 25        -1488
1020                     397                 25        -1488
1021                     397                 25        -1488
1022                     397                 25        -1488
1023                     397                 25        -1488
1024                     396                 25        -1484
1025                     397                 25        -1488
1026                     397                 25        -1488
1027                     397                 25        -1488
1028                     397                 25        -1488
1029                     397                 25        -1488
1030                     396                 25        -1484
1031                     397                 25        -1488
1032                     397                 25        -1488
1033                     397                 25        -1488
1034                     397                 25        -1488
1035                     396                 25        -1484
1036                     397                 25        -1488
1037                     397                 25        -1488
1038                     397                 25        -1488
1039                     397                 25        -1488
1040                     397                 25        -1488
1041                     396                 25        -1484
1042                     397                 25        -1488
1043                     397                 25        -1488
1044                     397                 25        -1488
1045                     397                 25        -1488
1046                     397                 25        -1488
1047                     396                 25        -1484
1048                     397                 25        -1488
1049                     397                 25        -1488
1050                     397                 25        -1488
1051                     397                 25        -1488
1052                     397                 25        -1488
1053                     396                 25        -1484
1054                     397                 25        -1488
1055                     397                 25        -1488
1056                     397                 25        -1488
1057                     397                 25        -1488
1058                     397                 25        -1488
1059                     396                 25        -1484
1060                     397                 25        -1488
1061                     397                 25        -1488
1062                     397                 25        -1488
1063                     397                 25        -1488
1064                     397                 25        -1488
1065                     396                 25        -1484
